input,output
Quero uma questão de ENEM sobre funções exponenciais.,"O automóvel é um bem que se desvaloriza muito rapidamente, quando comparado a outros bens. Após a venda, um automóvel novo já sofre uma grande desvalorização. O histórico de um automóvel novo, vendido por R$ 30 000,00, apresenta os seguintes valores (V ) de mercado, após decorridos os períodos indicados a seguir:

• ao final de um ano, R$ 27000,00; 
• ao final de dois anos, R$ 24300,00; 
• ao final de três anos, R$ 21870,00.
   Esses preços seguiram um modelo exponencial que expressa V em função do número n de ano de uso, pela relação V(n) = V0 · q^n, em que V0 é o valor inicial, q é o fator de desvalorização e n é o tempo, em ano, decorrido após a venda.

O valor, em milhar de real, com uma casa decimal, que mais se aproxima do valor de mercado desse carro, ao final de seis anos, é:

A) 13,7.
B) 14,3.
C) 14,6.
D) 15,9.
E) 17,7. "
Me envie uma questão de história sobre a Revolução Francesa.,"Em nosso país queremos substituir o egoísmo pela moral, a honra pela probidade, os usos pelos princípios, as conveniências pelos deveres, a tirania da moda pelo império da razão, o desprezo à desgraça pelo desprezo ao vício, a insolência pelo orgulho, a vaidade pela grandeza de alma, o amor ao dinheiro pelo amor à glória, a boa companhia pelas boas pessoas, a intriga pelo mérito, o espirituoso pelo gênio, o brilho pela verdade, o tédio da volúpia pelo encanto da felicidade, a mesquinharia dos grandes pela grandeza do homem.

HUNT, L. Revolução Francesa e Vida Privada. In: PERROT,
M. (Org.) História da Vida Privada: da Revolução Francesa à
Primeira Guerra. Vol. 4. São Paulo: Companhia das Letras,
1991 (adaptado).

O discurso de Robespierre, de 5 de fevereiro de 1794, do qual o trecho transcrito é parte, relaciona-se a qual dos grupos político-sociais envolvidos na Revolução Francesa?:
A) Ao clero francês, que desejava justiça social e era ligado à alta burguesia.
B) A militares oriundos da pequena e média burguesia, que derrotaram as potências rivais e queriam reorganizar a França internamente.
C) À nobreza esclarecida, que, em função do seu contato, com os intelectuais iluministas, desejava extinguir o absolutismo francês.
D) Aos representantes da pequena e média burguesia e das camadas populares, que desejavam justiça social e direitos políticos.
E) À alta burguesia, que desejava participar do poder legislativo francês como força política dominante."
Pode gerar uma questão de física sobre leis de Newton?,"Durante uma faxina, a mãe pediu que o filho a ajudasse, deslocando um móvel para mudá-lo de lugar. Para escapar da tarefa, o filho disse ter aprendido na escola que não poderia puxar o móvel, pois a Terceira Lei de Newton define que se puxar o móvel, o móvel o puxará igualmente de volta, e assim não conseguirá exercer uma força que possa colocá-lo em movimento.
Qual argumento a mãe utilizará para apontar o erro de interpretação do garoto?:
A) A força de ação é aquela exercida pelo garoto.
B) As forças que o chão exerce sobre o garoto se anulam.
C) A força de ação é um pouco maior que a força de reação.
D) O par de forças de ação e reação não atua em um mesmo corpo.
E) A força resultante sobre o móvel é sempre nula."
Quero uma questão de biologia sobre fotossíntese.,"A fotossíntese é um processo físico-químico realizado por organismos clorofllados. Nos vegetais, é dividido em duas fases complementares: uma responsável pela síntese de ATP e pela redução do NADP+ e a outra pela fixação de carbono.
 Para que a etapa produtora de ATP e NADPH ocorra, são essenciais:
A) glicose e radiação luminosa.
B) oxigênio e dióxido de carbono.
C) radiação luminosa e água.
D) glicose e oxigênio.
E) água e oxigênio."
Gere uma questão de química sobre ligações químicas.,"Os compostos iônicos CaCO3 e NaCl têm solubilidades muito diferentes em água. Enquanto o carbonato de cálcio, principal constituinte do mármore, é praticamente insolúvel em água, o sal de cozinha é muito solúvel. A solubilidade de qualquer sal é o resultado do balanço entre a energia de rede (energia necessária para separar completamente os íons do sólido cristalino) e a energia envolvida na hidratação dos íons dispersos em solução. Em relação à energia de rede, a menor solubilidade do primeiro composto é explicada pelo fato de ele apresentar maior: A) atração entre seus íons. B) densidade do sólido iônico. C) energia de ionização do cálcio. D) eletronegatividade dos átomos. E) polarizabilidade do íon carbonato."
Quero uma questão de geografia sobre mudanças climáticas.,"O Painel Intergovernamental de Mudanças Climáticas (na sigla em inglês, IPCC) prevê que nas próximas décadas o planeta passará por mudanças climáticas e propõe estratégias de mitigação e adaptação a elas. As estratégias de mitigação são direcionadas à causa dessas mudanças, procurando reduzir a concentração de gases de efeito estufa na atmosfera. As estratégias de adaptação, por sua vez, são direcionadas aos efeitos dessas mudanças, procurando preparar os sistemas humanos às mudanças climáticas já em andamento, de modo a reduzir seus efeitos negativos.
IPCC, 2014. Climate Change 2014: synthesis report. Disponível em: http://w5-syr.ipcc.ch. Acesso em: 22 out 2015 (adaptado)

Considerando as informações do texto, qual ação representa uma estratégia de adaptação?

A) Construção de usinas eólicas.
B) Tratamento de resíduos sólidos.
C) Aumento da eficiência dos veículos.
D) Adoção de agricultura sustentável de baixo carbono.
E) Criação de diques de contenção em regiões costeiras."
Manda uma questão de sociologia sobre desigualdade social.,"Os níveis de desigualdade construídos historicamente não se referem apenas a uma questão de mérito individual, mas à falta de condições iguais de oportunidades de acesso a educação, trabalho, saúde, moradia e lazer. As pesquisas mostram que há um grande abismo racial no Brasil, e as estatísticas, ao apontarem as condições de vida, emprego e escolaridade entre negros e brancos, comprovam que essa desigualdade é fruto da estrutura racista, somada à exclusão social e à desigualdade socioeconômica, que atinge toda a população brasileira e, de modo particular, os negros.
MUNANGA, K.; GOMES, N. L. Para entender o negro no Brasil de hoje: história, realidades, problemas e caminhos. São Paulo: Global; Ação Educativa, 2004 (adaptado).
 O conjunto de ações adotado pelo Estado brasileiro, a partir da última década do século XX, para enfrentar os problemas sociais descritos no texto resultaram na:
A) descentralização do sistema nacional de habitação.
B) democratização da instrução escolar pública
C) ampliação de planos viários de urbanização.
D) preservação de espaços de entretenimento locais.
E) manutenção da rede hospitalar universitária"
Me dá uma questão de filosofia sobre Sócrates.,"Tomemos o exemplo de Sócrates: é precisamente ele quem interpela as pessoas na rua, os jovens no ginásio, perguntando: “Tu te ocupas de ti?” O deus o encarregou disso, é sua missão, e ele não a abandonará, mesmo no momento em que for ameaçado de morte. Ele é certamente o homem que cuida do cuidado dos outros: esta é a posição particular do filósofo. 
FOUCAULT, M. Ditos e escritos. Rio de Janeiro: Forense Universitária, 2004.
 
O fragmento evoca o seguinte princípio moral da filosofia socrática, presente em sua ação dialógica::
A) Ironizar o seu oponente.
B) Debater visando a aporia.
C) Sofismar com a verdade.
D) Examinar a própria vida.
E) Desprezar a virtude alheia."
Quero uma questão de português sobre análise sintática.,"Os velhos papéis, quando não são consumidos pelo fogo, às vezes acordam de seu sono para contar notícias do passado.
    É assim que se descobre algo novo de um nome antigo, sobre o qual já se julgava saber tudo, como Machado de Assis.
    Por exemplo, você provavelmente não sabe que o autor carioca, morto em 1908, escreveu uma letra do hino nacional em 1867 — e não poderia saber mesmo, porque os versos seguiam inéditos. Até hoje.
    Essa letra acaba de ser descoberta, em um jornal antigo de Florianópolis, pelo pesquisador independente Felipe Rissato.
    “Das florestas em que habito/ Solto um canto varonil:/ Em honra e glória de Pedro/ O gigante do Brasil”, diz o começo do hino, composto de sete estrofes em redondilhas maiores, ou seja, versos de sete sílabas poéticas. O trecho também é o refrão da música.
    O Pedro mencionado é o imperador Dom Pedro II. O bruxo do Cosme Velho compôs a letra para o aniversário de 42 anos do monarca, em 2 de dezembro daquele ano— o hino seria apresentado naquele dia no teatro da cidade de Desterro, antigo nome de Florianópolis.
Disponível em: www.revistaprosaversoearte.com. Acesso em: 4 dez. 2018 (adaptado).
Considerando-se as operações de retomada de informações na estruturação do texto, há interdependência entre as expressões:

a) “Os velhos papéis” e “É assim”.
b) “algo novo” e “sobre o qual”.
c) “um nome antigo” e “Por exemplo”.
d) “O gigante do Brasil” e “O Pedro mencionado”.
e) “o imperador Dom Pedro II” e “O bruxo do Cosme Velho”."
Gera uma questão de matemática sobre probabilidade.,"Em uma escola, a probabilidade de um aluno compreender e falar inglês é de 30%. Três alunos dessa escola, que estão em fase final de seleção de intercâmbio, aguardam, em uma sala, serem chamados para uma entrevista. Mas, ao invés de chamá-los um a um, o entrevistador entra na sala e faz, oralmente, uma pergunta em inglês que pode ser respondida por qualquer um dos alunos. A probabilidade de o entrevistador ser entendido e ter sua pergunta oralmente respondida em inglês é: A) 23,7%. 
B) 30,0%. 
C) 44,1%. 
D) 65,7%. 
E) 90,0%."
