input,output
Quero uma questão de ENEM sobre funções exponenciais.,"Em uma investigação sobre o crescimento de uma população de coelhos, um biólogo observou que, sob condições ideais, a população dobra a cada mês. Se a quantidade inicial de coelhos no primeiro mês é de 50 indivíduos, a função que representa a quantidade de coelhos ao longo do tempo pode ser modelada pela função exponencial P(t) = 50 * 2^t, onde P(t) representa a população no mês t. Ao término de 6 meses, qual será a população total de coelhos?
A) 1.600 coelhos.
B) 300 coelhos.
C) 3.200 coelhos.
D) 2.000 coelhos."
Me envie uma questão de história sobre a Revolução Francesa.,"Durante a Revolução Francesa, diversos fatores contribuíram para a eclosão do movimento social e político que transformou a França no final do século XVIII. No contexto de um crescente descontentamento popular, inspirado pelos ideais da Ilustração, uma série de eventos marcantes, como a tomada da Bastilha e a elaboração da Declaração dos Direitos do Homem e do Cidadão, teve um papel crucial. Qual das alternativas abaixo explica corretamente uma das principais consequências da Revolução Francesa?
A) A Revolução Francesa levou à consolidação de um governo absolutista, já que a nobreza e o clero restabeleceram seu poder após a tentativa de implementação de reformas.
B) A Revolução resultou na abolição dos privilégios feudais e na declaração da igualdade dos cidadãos perante a lei, fundamentando novos princípios democráticos.
C) A Revolução não afetou a estrutura social da França, pois as hierarquias sociais permaneceram inalteradas, mantendo as desigualdades do Antigo Regime.
D) A Revolução criou um governo econômico socialista que aboliu completamente a propriedade privada, instaurando uma economia planificada."
Pode gerar uma questão de física sobre leis de Newton?,"Um atleta participa de uma corrida em pista reta. Ao iniciar a prova, ele aplica uma força de 200 N em seu corpo, que possui uma massa de 80 kg. De acordo com a segunda lei de Newton, a aceleração do atleta pode ser calculada pela relação entre a força resultante e a massa do corpo. Após alguns instantes, ele se depara com uma resistência do ar que atua contra seu movimento, reduzindo a força líquida aplicada a 180 N. Considerando que não há outras forças atuando sobre o atleta e que a aceleração inicial foi mantida, qual será a aceleração do atleta durante a corrida?
A) 2,25 m/s²
B) 2,0 m/s²
C) 1,5 m/s²
D) 1,0 m/s²"
Quero uma questão de biologia sobre fotossíntese.,"Durante um experimento em uma escola, os alunos estudaram o processo de fotossíntese em plantas utilizando tubos de ensaio. Eles observaram que, em condições ideais de luz, água e dióxido de carbono, as plantas conseguiram gerar oxigênio e glicose. Os alunos, empolgados, decidiram alterar alguns fatores para observar seus efeitos na fotossíntese. Considerando os aspectos do processo fotossintético e os fatores que o influenciam, assinale a alternativa que melhor descreve um fator que pode reduzir a taxa de fotossíntese.
A) Aumentar a intensidade da luz solar, pois isso promove a absorção de energia pela clorofila.
B) Reduzir a concentração de dióxido de carbono, pois isso limita a fixação do carbono durante o Ciclo de Calvin.
C) Aumentar a temperatura dentro da faixa ideal, pois isso acelera as reações químicas que ocorrem no processo.
D) Utilizar água de irrigação limpa, pois a água é um substrato essencial e não interfere na taxa de fotossíntese."
Gere uma questão de química sobre ligações químicas.,"Durante uma experiência em aula de Química, os alunos discutem as diferentes ligações químicas e suas propriedades. Um deles pergunta como as ligações influenciam as características dos compostos, como solubilidade e condutividade elétrica. Considerando os tipos de ligações químicas (iônica, covalente e metálica), assinale a alternativa que apresenta uma descrição correta sobre essas ligações e suas propriedades.
A) As ligações iônicas ocorrem entre metais e não metais, onde os elétrons são compartilhados, resultando em compostos que conduzem eletricidade em solução aquosa.
B) As ligações covalentes são formadas pela transferência de elétrons entre átomos, levando à formação de compostos iônicos que são em sua maioria sólidos à temperatura ambiente.
C) A ligação metálica é caracterizada pela presença de um 'mar de elétrons' que confere maleabilidade e condutividade elétrica aos metais, além de ocorrer entre átomos metálicos.
D) As ligações iônicas ocorrem entre átomos do mesmo tipo, resultando em substâncias que são geralmente voláteis e possuem baixo ponto de fusão."
Quero uma questão de geografia sobre mudanças climáticas.,"A região costeira do Brasil, com suas diversas atividades econômicas e ecossistemas ricos, tem sofrido impactos significativos devido às mudanças climáticas. O aumento do nível do mar, a erosão das praias e a acidificação dos oceanos são algumas das consequências que têm afetado a biodiversidade marinha e as comunidades que dependem do ambiente costeiro. Dada essa realidade, assinale a alternativa que melhor descreve um efeito diretamente relacionado às mudanças climáticas e suas repercussões na fauna e flora marinha:
A) O aumento da temperatura oceânica resulta na migração de várias espécies marinhas para regiões mais frias em busca de condições adequadas, o que gera desequilíbrios nas redes alimentares locais.
B) A diminuição da biodiversidade das regiões polares provoca um aumento na população de espécies marinhas tropicais que se adaptam rapidamente ao ambiente, diversificando os ecossistemas.
C) Os recifes de corais estão se expandindo para a superfície devido ao aquecimento global, permitindo que novas espécies colonizem esses ambientes.
D) O aumento da precipitação diminui a salinidade dos oceanos, favorecendo a proliferação de algas invasoras em todo o território marinho."
Manda uma questão de sociologia sobre desigualdade social.,"Nas últimas décadas, o Brasil tem enfrentado um aumento significativo da desigualdade social, que pode ser observado em diversos aspectos da vida cotidiana. Essa desigualdade, que se manifesta em diferenças de acesso a serviços básicos como saúde, educação e moradia, resulta em consequências prejudiciais para a sociedade como um todo. Em um estudo recente, observou-se que as políticas públicas voltadas para a redução da desigualdade, embora tenham avançado, ainda são insuficientes para promover uma equidade real entre as diferentes camadas da população. Partindo desse contexto, assinale a alternativa que aponta corretamente uma das principais causas da desigualdade social no Brasil.
A) A educação pública de qualidade é universalizada, sendo um dos pilares para a igualdade social no país, o que evidencia que a falta dela não é um fator de desigualdade.
B) A concentração de renda nas mãos de uma pequena elite, que perpetua as desigualdades por meio de heranças e privilégios, é uma das causas principais da desigualdade social.
C) A diversidade cultural e étnica do Brasil garante que todos os grupos tenham acesso equitativo às oportunidades sociais, reduzindo assim a desigualdade.
D) A crescente urbanização das cidades brasileiras tem promovido uma distribuição igualitária de renda, influenciando positivamente a redução da desigualdade."
Me dá uma questão de filosofia sobre Sócrates.,"Em uma conversa descontraída entre amigos, um deles menciona a famosa frase de Sócrates: 'Só sei que nada sei'. Ele argumenta que essa afirmação reflete uma profunda sabedoria, pois promove a humildade intelectual e a disposição para aprender. No entanto, um de seus amigos questiona a validade desse pensamento, sugerindo que a ignorância, quando assumida, pode levar à apatia e à falta de ação. Essa troca de ideias provoca uma reflexão sobre o impacto da filosofia socrática na busca pela verdade e na educação. Qual das seguintes opções melhor resume a essência do método socrático, como exemplificado na frase mencionada?
A) O método socrático se baseia na retórica persuasiva, visando convencer os interlocutores a aceitarem uma visão específica.
B) O método socrático consiste na busca pela verdade por meio da autocrítica e do questionamento constante dos próprios conhecimentos.
C) O método socrático é caracterizado pela aceitação de dogmas como verdades absolutas, evitando questionamentos sobre elas.
D) O método socrático se fundamenta na análise científica dos elementos da natureza, visando entender o mundo físico."
Quero uma questão de português sobre análise sintática.,"Em uma sala de aula, o professor apresentou a frase: ""As crianças brincavam felizes no parque enquanto a tarde se despedia."" Considerando a análise sintática dessa frase, identifique o sujeito e o predicado presentes. O sujeito é a parte da frase que contém a informação principal sobre quem realiza a ação, enquanto o predicado é o que se diz sobre esse sujeito. Analise a frase e indique qual alternativa abaixo apresenta a análise correta do sujeito e do predicado.
A) Sujeito: As crianças; Predicado: brincavam felizes no parque enquanto a tarde se despedia.
B) Sujeito: brincavam felizes no parque; Predicado: As crianças enquanto a tarde se despedia.
C) Sujeito: no parque; Predicado: As crianças brincavam felizes enquanto a tarde se despedia.
D) Sujeito: a tarde; Predicado: se despedia enquanto as crianças brincavam felizes no parque."
Gera uma questão de matemática sobre probabilidade.,"Em uma pequena fábrica, foram instaladas duas máquinas automáticas, A e B, que produzem peças de forma independente. A probabilidade de a máquina A produzir uma peça defeituosa é de 0,1, e a probabilidade de a máquina B produzir uma peça defeituosa também é de 0,1. Se ambas as máquinas operarem simultaneamente, qual é a probabilidade de que pelo menos uma das máquinas produza uma peça defeituosa durante um dia de produção?
A) 0,19
B) 0,09
C) 0,1
D) 0,01"
Quero uma questão de física sobre eletromagnetismo.,"Um engenheiro elétrico está projetando um dispositivo que utiliza um campo magnético variável para gerar corrente elétrica. Para isso, ele empregará duas bobinas de fio condutor posicionadas próximas uma da outra. Ao variar a corrente elétrica na primeira bobina, um campo magnético é gerado que afeta a segunda bobina. Esse processo é fundamentado em qual princípio do eletromagnetismo?
A) A Lei de Faraday, que estabelece que a variação do fluxo magnético gera uma força eletromotriz na bobina que está próxima.
B) A Lei de Coulomb, que descreve a força entre cargas elétricas em repouso.
C) O princípio de Ampère, que relaciona a circulação de campo magnético ao longo de um caminho em relação à corrente que o gera.
D) A Lei de Ohm, que relaciona a tensão, a corrente e a resistência em um circuito elétrico."
Me envie uma questão de história do Brasil sobre a Era Vargas.,"A Era Vargas (1930-1945) foi um período marcado por profundas transformações sociais, políticas e econômicas no Brasil. Getúlio Vargas, consolidando-se como um líder carismático, implementou uma série de políticas que visavam modernizar o país e atender às demandas da classe trabalhadora. Uma das ações mais significativas foi a criação da Consolidação das Leis do Trabalho (CLT) em 1943, que unificou e regulamentou os direitos trabalhistas. Nesse contexto, é correto afirmar que:
A) a CLT teve como principal objetivo eliminar os sindicatos, centralizando o poder em torno do governo, sem considerar os direitos dos trabalhadores.
B) a CLT instituiu uma série de direitos que fortaleciam a proteção dos trabalhadores, como férias, licença maternidade e regulamentação da jornada de trabalho.
C) a criação da CLT foi uma medida que visava a exclusão social dos trabalhadores rurais, que não foram beneficiados por suas diretrizes.
D) a CLT foi implantada apenas como uma resposta às pressões internacionais sobre os direitos humanos, sem relação com as demandas internas da sociedade brasileira."
Quero uma questão de biologia sobre genética.,"Durante uma aula de biologia, a professora apresenta aos alunos um experimento com ervilhas, em que observa a herança de características como cor e textura das sementes. Ela explica que a cor das sementes pode ser verde (recessiva) ou amarela (dominante), enquanto a textura pode ser rugosa (dominante) ou lisa (recessiva). Ao cruzar duas plantas, uma heterozigota para ambas as características (YyRr) e outra homozigota recessiva para ambas as características (yyrr), quais serão as proporções genotípicas esperadas na geração F1?
A) 50% YyRr e 50% yyrr.
B) 25% YYRR, 25% YYRr, 25% YyRr e 25% yyrr.
C) 50% YyRr e 50% Yyrr.
D) 50% YyRR, 25% YyRr e 25% yyrr."
