input,output
Quero uma questão de ENEM sobre funções exponenciais.,"A função exponencial é utilizada para descrever e modelar o comportamento de várias situações no nosso dia a dia, como no crescimento populacional e em investimentos financeiros. Por exemplo, um investimento de capital inicial de R$ 1.000,00 em uma aplicação que rende 5% ao mês pode ser modelado pela função exponencial f(t) = 1000 * (1 + 0,05)ᵗ, onde t representa o tempo em meses. Disponível em: https://mundoeducacao.uol.com.br/matematica/funcao-exponencial.htm. Acesso em: 28 out. 2023

Qual é o montante acumulado após 3 meses desse investimento, descrito pela função f(t) = 1000 * (1 + 0,05)ᵗ?

A) R$ 1.157,63
B) R$ 1.215,50
C) R$ 1.500,00
D) R$ 1.231,50"
Me envie uma questão de história sobre a Revolução Francesa.,"A Revolução Francesa foi o ciclo revolucionário, ocorrido entre 1789 e 1799, responsável pelo fim dos privilégios da aristocracia e pelo término do Antigo Regime. A Revolução Francesa é considerada um marco na história ocidental, simbolizando o fim de uma era e criando outros padrões políticos e sociais. Surgiu em um contexto de graves crises sociais e econômicas e foi impulsionada pelos ideais do Iluminismo, que defendiam a razão e a igualdade entre os homens. A insatisfação da população, especialmente da burguesia, levou à convocação dos Estados Gerais e à formação da Assembleia Nacional, sendo a Tomada da Bastilha, em 14 de julho de 1789, um evento emblemático desse processo. Disponível em : https://brasilescola.uol.com.br/historiag/revolucao-francesa.htm

Com base no contexto apresentado, qual das alternativas abaixo representa uma das principais consequências da Revolução Francesa para a sociedade europeia do século XIX?

A) O fortalecimento do absolutismo monárquico na França, com a restauração das práticas feudais tradicionais.
B) A disseminação dos ideais de liberdade e igualdade, inspirando movimentos revolucionários em outros países europeus.
C) A centralização do poder nas mãos da Igreja Católica, que voltou a exercer influência política significativa.
D) A permanência dos privilégios da aristocracia, com a aristocracia mantendo total controle sob o sistema político."
Pode gerar uma questão de física sobre leis de Newton?,"Os exemplos de aplicações da primeira lei de Newton envolvem a continuação do movimento pelo corpo até encontrar um obstáculo ou a continuação do seu repouso até que uma força externa atue sobre ele, como, por exemplo, o uso do cinto de segurança que visa proteger o passageiro em caso de uma freada brusca, pois a inércia faz com que ele ainda tenha a tendência de continuar se movendo na mesma direção.

Um carro viaja por uma estrada a uma velocidade constante quando, de repente, o motorista realiza uma frenagem brusca para evitar uma colisão. Se o carro não estivesse equipado com cintos de segurança, o que aconteceria com os ocupantes do veículo devido à primeira lei de Newton?

A) Os ocupantes continuariam a se mover na mesma velocidade do carro, permanecendo seguros.
B) Os ocupantes seriam empurrados para frente, em direção ao painel do carro, por inércia.
C) Os ocupantes diminuiriam a velocidade gradualmente até pararem completamente, sem consequências.
D) Os ocupantes teriam sua trajetória alterada, mas não perceberiam nenhuma mudança em seu movimento."
Quero uma questão de biologia sobre fotossíntese.,"A fotossíntese é um processo em que a energia solar é capturada e utilizada na produção de moléculas orgânicas. O processo envolve a conversão de dióxido de carbono (CO2) e água (H2O) em glicose (C6H12O6) e oxigênio (O2), usando a luz solar como fonte de energia.

Em relação ao processo de fotossíntese, analise as afirmações a seguir e assinale a alternativa correta que representa o funcionamento e os produtos finais desse processo. 

I – A fotossíntese não ocorre exclusivamente nas folhas das plantas. 
II – O processo envolve a conversão da luz solar em energia química, resultando na formação de glicose e oxigênio. 
III – A clorofila é apenas um dos pigmentos responsáveis pela absorção da luz solar durante a fotossíntese. 
IV – O dióxido de carbono é um dos principais reagentes utilizados nas reações da fotossíntese.

A) Apenas I e III estão corretas.
B) Apenas II e IV estão corretas.
C) Apenas III e IV estão corretas.
D) Todas as afirmações estão corretas."
Gere uma questão de química sobre ligações químicas.,"Ligações químicas - Toda Matéria
As ligações químicas são interações entre átomos que resultam na formação de moléculas e compostos. Entre as principais ligações químicas estão: Ligação iônica: ocorre quando há transferência de elétrons entre átomos, formando íons. Ligação covalente: ocorre quando átomos compartilham elétrons. Ligações metálicas: são interações que envolvem átomos de metais com elétrons livres.

Um estudante de química está revisando os conceitos de ligações químicas para um exame. Ele lê sobre os diferentes tipos de ligações e suas propriedades. Com base em suas pesquisas, ele percebe que algumas substâncias possuem características físicas distintas devido ao tipo de ligação predominante. Assinale a alternativa que apresenta a relação correta entre o tipo de ligação química e uma de suas propriedades específicas.

A) O cloreto de sódio (NaCl) é um exemplo de ligação covalente e apresenta alta condutividade elétrica no estado sólido.
B) O diamante, uma forma do carbono, apresenta ligação covalente e possui alta dureza devido à forte atração entre seus átomos.
C) O alumínio é uma substância iônica que é altamente maleável e condutora de eletricidade tanto no estado sólido quanto no líquido.
D) A água (H2O) é uma substância metálica que tende a ter um ponto de ebulição mais alto devido às interações metálicas entre as moléculas."
Quero uma questão de geografia sobre mudanças climáticas.,"As mudanças climáticas têm se tornado um dos maiores desafios enfrentados pela humanidade, levando a consequências imprevistas para o meio ambiente e a sociedade. Entre as estratégias propostas para mitigar esses efeitos, destacam-se a adoção de energias renováveis e a restauração de ecossistemas, como reflorestamento. Essas ações visam reduzir a emissão de gases de efeito estufa e aumentar a capacidade de resiliência dos ambientes ecossistêmicos.

Considerando o contexto das mudanças climáticas e as soluções propostas para mitigá-las, assinale a alternativa que apresenta uma ação efetiva para combater esses efeitos negativos:

A) Aumento do uso de combustíveis fósseis para a geração de energia, visando atender a demandas crescentes.
B) Implementação de políticas de reflorestamento, que visem restaurar áreas degradadas e aumentar a absorção de carbono.
C) Promoção de atividades industriais sem regulamentação ambiental, visando estimular a economia local.
D) Manutenção da agricultura tradicional, sem adaptações às novas condições climáticas, mesmo que isso comprometa as colheitas futuras."
Manda uma questão de sociologia sobre desigualdade social.,"A desigualdade leva ao aumento da pobreza, da má qualidade da alimentação e à fome. Com isso, também há más condições de moradia, falta de saneamento básico, entre outras dificuldades que comprometem a qualidade de vida da população mais vulnerável. Ao mesmo tempo, essa situação gera um ciclo vicioso de exclusão social, onde os indivíduos marginalizados têm pouca ou nenhuma chance de romper as barreiras socioeconômicas impostas por essa desigualdade. Essa realidade pode ser observada em várias dimensões, incluindo acesso à educação, saúde e oportunidades de emprego, refletindo uma estrutura social profundamente desigual.

Com base nas informações apresentadas no texto de apoio, qual é uma consequência direta da desigualdade social nas áreas urbanas contemporâneas?

A) Melhora nas condições de saúde e aumento do acesso a serviços básicos para toda a população.
B) Redução do nível de pobreza e maior igualdade na distribuição de renda entre diferentes classes sociais.
C) Aumento da pobreza, má qualidade da alimentação e restrições no acesso a moradia e saneamento básico.
D) Crescimento econômico sustentável, promovendo a inclusão social e a diminuição das disparidades sociais."
Me dá uma questão de filosofia sobre Sócrates.,"A maiêutica socrática consiste num jogo dialético de perguntas e respostas, visando trazer à tona as ideias e a essência das coisas, promovendo a reflexão crítica no interlocutor.

Em um diálogo filosófico, um estudante questiona a relevância do método maiêutico de Sócrates em suas buscas e trocas de ideias. Para Sócrates, a maiêutica não é apenas um método de questionamento, mas também uma forma de promover a reflexão ética e a busca pela verdade. Considerando esses aspectos da filosofia socrática, qual das alternativas abaixo reflete a essência da maiêutica e sua importância ética?

A) A maiêutica impõe respostas fixas às perguntas, buscando definir verdades absolutas para os interlocutores.
B) A maiêutica fomenta a reflexão autônoma e crítica, ajudando o interlocutor a descobrir suas próprias verdades e promover sua ética pessoal.
C) A maiêutica busca promover debates acalorados sem preocupação pela moralidade das opiniões defendidas.
D) A maiêutica se baseia na ironia direta e na debilidade do oponente, buscando apenas vencer discussões."
Quero uma questão de português sobre análise sintática.,"A análise sintática é o estudo da função de cada termo de uma oração. Um termo, ou palavra, pode ser classificado de forma diferente de acordo com a função que exerce na frase. Os termos que compõem uma oração podem ser sujeitos, predicados, complementos, entre outros elementos. Por exemplo, na frase 'O cachorro correu rapidamente', 'O cachorro' é o sujeito, 'correu' é o verbo, e 'rapidamente' funciona como um adjunto adverbial.Disponível em: https://www.todamateria.com.br/analise-sintatica/. Acesso em: 28 out. 2023

Analise a seguinte frase: 'Os alunos dedicaram-se intensamente aos estudos durante o ano letivo.' Assinale a alternativa que apresenta a classificação correta para o termo grifado 'intensamente':

A) Adjunto adnominal.
B) Complemento nominal.
C) Núcleo do sujeito.
D) Adjunto adverbial."
Gera uma questão de matemática sobre probabilidade.,"Teste seus conhecimentos sobre probabilidade com questões divididas por nível de dificuldade, que são úteis para o ensino fundamental e médio.

Em uma festa, um organizador decide distribuir 5 prêmios entre 10 participantes. Cada prêmio é idêntico e todos os participantes têm a mesma chance de ganhar. Qual é a probabilidade de que um participante específico ganhe pelo menos um prêmio?

A) 0,5
B) 0,4
C) 0,31
D) 0,78"
